date,search_term,trend_value,region
2021-01-01,COVID vaccine,24,India
2021-01-02,COVID vaccine,19,India
2021-01-03,COVID vaccine,27,India
2021-01-04,COVID vaccine,36,India
2021-01-05,COVID vaccine,19,India
2021-01-06,COVID vaccine,20,India
2021-01-07,COVID vaccine,38,India
2021-01-08,COVID vaccine,31,India
2021-01-09,COVID vaccine,19,India
2021-01-10,COVID vaccine,30,India
2021-01-11,COVID vaccine,20,India
2021-01-12,COVID vaccine,20,India
2021-01-13,COVID vaccine,28,India
2021-01-14,COVID vaccine,7,India
2021-01-15,COVID vaccine,9,India
2021-01-16,COVID vaccine,22,India
2021-01-17,COVID vaccine,18,India
2021-01-18,COVID vaccine,31,India
2021-01-19,COVID vaccine,20,India
2021-01-20,COVID vaccine,15,India
2021-01-21,COVID vaccine,44,India
2021-01-22,COVID vaccine,28,India
2021-01-23,COVID vaccine,31,India
2021-01-24,COVID vaccine,17,India
2021-01-25,COVID vaccine,26,India
2021-01-26,COVID vaccine,33,India
2021-01-27,COVID vaccine,21,India
2021-01-28,COVID vaccine,37,India
2021-01-29,COVID vaccine,27,India
2021-01-30,COVID vaccine,31,India
2021-01-31,COVID vaccine,28,India
2021-02-01,COVID vaccine,53,India
2021-02-02,COVID vaccine,35,India
2021-02-03,COVID vaccine,25,India
2021-02-04,COVID vaccine,44,India
2021-02-05,COVID vaccine,24,India
2021-02-06,COVID vaccine,39,India
2021-02-07,COVID vaccine,18,India
2021-02-08,COVID vaccine,24,India
2021-02-09,COVID vaccine,40,India
2021-02-10,COVID vaccine,46,India
2021-02-11,COVID vaccine,41,India
2021-02-12,COVID vaccine,38,India
2021-02-13,COVID vaccine,37,India
2021-02-14,COVID vaccine,25,India
2021-02-15,COVID vaccine,33,India
2021-02-16,COVID vaccine,36,India
2021-02-17,COVID vaccine,52,India
2021-02-18,COVID vaccine,45,India
2021-02-19,COVID vaccine,24,India
2021-02-20,COVID vaccine,45,India
2021-02-21,COVID vaccine,39,India
2021-02-22,COVID vaccine,36,India
2021-02-23,COVID vaccine,49,India
2021-02-24,COVID vaccine,54,India
2021-02-25,COVID vaccine,53,India
2021-02-26,COVID vaccine,36,India
2021-02-27,COVID vaccine,41,India
2021-02-28,COVID vaccine,48,India
2021-03-01,COVID vaccine,55,India
2021-03-02,COVID vaccine,40,India
2021-03-03,COVID vaccine,44,India
2021-03-04,COVID vaccine,35,India
2021-03-05,COVID vaccine,34,India
2021-03-06,COVID vaccine,54,India
2021-03-07,COVID vaccine,60,India
2021-03-08,COVID vaccine,46,India
2021-03-09,COVID vaccine,57,India
2021-03-10,COVID vaccine,51,India
2021-03-11,COVID vaccine,41,India
2021-03-12,COVID vaccine,51,India
2021-03-13,COVID vaccine,63,India
2021-03-14,COVID vaccine,48,India
2021-03-15,COVID vaccine,64,India
