text,date,user_location,retweets,likes,clean_text,sentiment,label,month,year
Proud to be vaccinated! #Vaccinated,2023-05-11,Pune,71,188,proud to be vaccinated,0.8,positive,2023-05,2023
Government should make vaccines mandatory #PublicHealth,2021-05-02,Bangalore,86,74,government should make vaccines mandatory,0.0,neutral,2021-05,2021
Vaccines are a conspiracy #AntiVax,2023-05-22,Ahmedabad,2,149,vaccines are a conspiracy,0.0,neutral,2023-05,2023
Government should make vaccines mandatory #PublicHealth,2023-02-09,Ahmedabad,29,37,government should make vaccines mandatory,0.0,neutral,2023-02,2023
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-08-14,Kolkata,32,57,not sure about covid vaccine safety,-0.25,negative,2023-08,2023
Worried about vaccine side effects #VaccineSafety,2021-09-10,Chennai,88,48,worried about vaccine side effects,0.0,neutral,2021-09,2021
Vaccine misinformation is dangerous #FactCheck,2022-12-01,Ahmedabad,14,189,vaccine misinformation is dangerous,-0.6,negative,2022-12,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-04-12,Mumbai,2,50,got my vaccine today feeling protected,0.0,neutral,2023-04,2023
Proud to be vaccinated! #Vaccinated,2021-01-21,Mumbai,38,17,proud to be vaccinated,0.8,positive,2021-01,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2022-08-24,Chennai,13,8,traditional medicine is better than vaccines,0.25,positive,2022-08,2022
Vaccine misinformation is dangerous #FactCheck,2022-07-19,Delhi,83,91,vaccine misinformation is dangerous,-0.6,negative,2022-07,2022
Proud to be vaccinated! #Vaccinated,2022-05-24,Ahmedabad,46,34,proud to be vaccinated,0.8,positive,2022-05,2022
Vaccines are important for public health #VaccineForAll,2023-10-23,Hyderabad,5,53,vaccines are important for public health,0.2,positive,2023-10,2023
Vaccine misinformation is dangerous #FactCheck,2022-12-04,Delhi,89,43,vaccine misinformation is dangerous,-0.6,negative,2022-12,2022
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-07-21,Hyderabad,99,13,not sure about covid vaccine safety,-0.25,negative,2021-07,2021
Vaccines are a conspiracy #AntiVax,2023-10-14,Hyderabad,39,81,vaccines are a conspiracy,0.0,neutral,2023-10,2023
Government should make vaccines mandatory #PublicHealth,2023-03-03,Delhi,88,187,government should make vaccines mandatory,0.0,neutral,2023-03,2023
Children need all recommended vaccines #ChildHealth,2021-01-15,Kolkata,64,88,children need all recommended vaccines,0.0,neutral,2021-01,2021
Proud to be vaccinated! #Vaccinated,2022-06-05,Ahmedabad,0,135,proud to be vaccinated,0.8,positive,2022-06,2022
Vaccines are a conspiracy #AntiVax,2023-12-23,Bangalore,80,135,vaccines are a conspiracy,0.0,neutral,2023-12,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-02-23,Mumbai,4,40,got my vaccine today feeling protected,0.0,neutral,2022-02,2022
Proud to be vaccinated! #Vaccinated,2021-07-20,Ahmedabad,11,161,proud to be vaccinated,0.8,positive,2021-07,2021
Vaccines are important for public health #VaccineForAll,2023-12-08,Pune,22,61,vaccines are important for public health,0.2,positive,2023-12,2023
Vaccines are a conspiracy #AntiVax,2023-03-16,Bangalore,43,103,vaccines are a conspiracy,0.0,neutral,2023-03,2023
Worried about vaccine side effects #VaccineSafety,2023-08-19,Bangalore,46,130,worried about vaccine side effects,0.0,neutral,2023-08,2023
Vaccines are important for public health #VaccineForAll,2023-10-26,Delhi,13,102,vaccines are important for public health,0.2,positive,2023-10,2023
Children need all recommended vaccines #ChildHealth,2021-07-26,Pune,89,41,children need all recommended vaccines,0.0,neutral,2021-07,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-05-14,Pune,51,95,got my vaccine today feeling protected,0.0,neutral,2023-05,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2022-04-30,Pune,14,170,traditional medicine is better than vaccines,0.25,positive,2022-04,2022
Traditional medicine is better than vaccines #AlternativeMedicine,2022-06-09,Ahmedabad,70,186,traditional medicine is better than vaccines,0.25,positive,2022-06,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-08-01,Delhi,44,61,got my vaccine today feeling protected,0.0,neutral,2022-08,2022
Children need all recommended vaccines #ChildHealth,2023-10-10,Hyderabad,27,27,children need all recommended vaccines,0.0,neutral,2023-10,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2021-07-09,Mumbai,0,120,traditional medicine is better than vaccines,0.25,positive,2021-07,2021
Children need all recommended vaccines #ChildHealth,2022-09-20,Kolkata,2,102,children need all recommended vaccines,0.0,neutral,2022-09,2022
Worried about vaccine side effects #VaccineSafety,2022-10-11,Hyderabad,36,50,worried about vaccine side effects,0.0,neutral,2022-10,2022
Vaccine misinformation is dangerous #FactCheck,2022-11-15,Ahmedabad,78,58,vaccine misinformation is dangerous,-0.6,negative,2022-11,2022
Worried about vaccine side effects #VaccineSafety,2022-03-18,Chennai,11,38,worried about vaccine side effects,0.0,neutral,2022-03,2022
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-08-10,Mumbai,58,112,not sure about covid vaccine safety,-0.25,negative,2023-08,2023
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-10-04,Chennai,53,86,not sure about covid vaccine safety,-0.25,negative,2022-10,2022
Government should make vaccines mandatory #PublicHealth,2022-01-20,Bangalore,1,52,government should make vaccines mandatory,0.0,neutral,2022-01,2022
Vaccine misinformation is dangerous #FactCheck,2021-09-04,Chennai,54,183,vaccine misinformation is dangerous,-0.6,negative,2021-09,2021
Vaccines are important for public health #VaccineForAll,2023-02-06,Hyderabad,23,68,vaccines are important for public health,0.2,positive,2023-02,2023
Traditional medicine is better than vaccines #AlternativeMedicine,2021-07-17,Hyderabad,10,143,traditional medicine is better than vaccines,0.25,positive,2021-07,2021
Vaccines are important for public health #VaccineForAll,2021-07-06,Hyderabad,79,92,vaccines are important for public health,0.2,positive,2021-07,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-10-22,Chennai,58,163,got my vaccine today feeling protected,0.0,neutral,2022-10,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-05-27,Chennai,95,198,got my vaccine today feeling protected,0.0,neutral,2021-05,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2022-05-04,Mumbai,39,127,traditional medicine is better than vaccines,0.25,positive,2022-05,2022
Proud to be vaccinated! #Vaccinated,2021-12-04,Ahmedabad,0,10,proud to be vaccinated,0.8,positive,2021-12,2021
Children need all recommended vaccines #ChildHealth,2022-04-18,Delhi,22,158,children need all recommended vaccines,0.0,neutral,2022-04,2022
Vaccine misinformation is dangerous #FactCheck,2021-09-20,Chennai,15,89,vaccine misinformation is dangerous,-0.6,negative,2021-09,2021
Children need all recommended vaccines #ChildHealth,2023-05-31,Delhi,0,47,children need all recommended vaccines,0.0,neutral,2023-05,2023
Government should make vaccines mandatory #PublicHealth,2023-11-27,Ahmedabad,8,98,government should make vaccines mandatory,0.0,neutral,2023-11,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-03-27,Ahmedabad,2,147,got my vaccine today feeling protected,0.0,neutral,2023-03,2023
Vaccines are a conspiracy #AntiVax,2021-02-23,Ahmedabad,32,151,vaccines are a conspiracy,0.0,neutral,2021-02,2021
Traditional medicine is better than vaccines #AlternativeMedicine,2022-08-10,Mumbai,71,163,traditional medicine is better than vaccines,0.25,positive,2022-08,2022
Worried about vaccine side effects #VaccineSafety,2021-04-14,Chennai,98,111,worried about vaccine side effects,0.0,neutral,2021-04,2021
Children need all recommended vaccines #ChildHealth,2021-04-09,Mumbai,92,145,children need all recommended vaccines,0.0,neutral,2021-04,2021
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-04-02,Bangalore,79,188,not sure about covid vaccine safety,-0.25,negative,2023-04,2023
Children need all recommended vaccines #ChildHealth,2021-06-10,Chennai,32,141,children need all recommended vaccines,0.0,neutral,2021-06,2021
Government should make vaccines mandatory #PublicHealth,2023-03-27,Chennai,7,134,government should make vaccines mandatory,0.0,neutral,2023-03,2023
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-02-05,Ahmedabad,32,175,got my vaccine today feeling protected,0.0,neutral,2022-02,2022
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-04-15,Pune,21,157,got my vaccine today feeling protected,0.0,neutral,2022-04,2022
Worried about vaccine side effects #VaccineSafety,2021-08-18,Kolkata,50,181,worried about vaccine side effects,0.0,neutral,2021-08,2021
Vaccines are a conspiracy #AntiVax,2021-01-27,Delhi,20,29,vaccines are a conspiracy,0.0,neutral,2021-01,2021
Vaccines are important for public health #VaccineForAll,2021-10-11,Pune,63,196,vaccines are important for public health,0.2,positive,2021-10,2021
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-07-01,Ahmedabad,48,16,got my vaccine today feeling protected,0.0,neutral,2022-07,2022
Government should make vaccines mandatory #PublicHealth,2022-06-02,Bangalore,36,23,government should make vaccines mandatory,0.0,neutral,2022-06,2022
Vaccines are important for public health #VaccineForAll,2021-10-29,Kolkata,94,98,vaccines are important for public health,0.2,positive,2021-10,2021
