text,date,user_location,retweets,likes
Proud to be vaccinated! #Vaccinated,2023-05-11,Pune,71,188
Government should make vaccines mandatory #PublicHealth,2021-05-02,Bangalore,86,74
Vaccines are a conspiracy #AntiVax,2023-05-22,Ahmedabad,2,149
Government should make vaccines mandatory #PublicHealth,2023-02-09,Ahmedabad,29,37
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-08-14,Kolkata,32,57
Worried about vaccine side effects #VaccineSafety,2021-09-10,Chennai,88,48
Vaccine misinformation is dangerous #FactCheck,2022-12-01,Ahmedabad,14,189
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-04-12,Mumbai,2,50
Proud to be vaccinated! #Vaccinated,2021-01-21,Mumbai,38,17
Traditional medicine is better than vaccines #AlternativeMedicine,2022-08-24,Chennai,13,8
Vaccine misinformation is dangerous #FactCheck,2022-07-19,Delhi,83,91
Proud to be vaccinated! #Vaccinated,2022-05-24,Ahmedabad,46,34
Vaccines are important for public health #VaccineForAll,2023-10-23,Hyderabad,5,53
Vaccine misinformation is dangerous #FactCheck,2022-12-04,Delhi,89,43
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2021-07-21,Hyderabad,99,13
Vaccines are a conspiracy #AntiVax,2023-10-14,Hyderabad,39,81
Government should make vaccines mandatory #PublicHealth,2023-03-03,Delhi,88,187
Children need all recommended vaccines #ChildHealth,2021-01-15,Kolkata,64,88
Proud to be vaccinated! #Vaccinated,2022-06-05,Ahmedabad,0,135
Vaccines are a conspiracy #AntiVax,2023-12-23,Bangalore,80,135
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-02-23,Mumbai,4,40
Proud to be vaccinated! #Vaccinated,2021-07-20,Ahmedabad,11,161
Vaccines are important for public health #VaccineForAll,2023-12-08,Pune,22,61
Vaccines are a conspiracy #AntiVax,2023-03-16,Bangalore,43,103
Worried about vaccine side effects #VaccineSafety,2023-08-19,Bangalore,46,130
Vaccines are important for public health #VaccineForAll,2023-10-26,Delhi,13,102
Children need all recommended vaccines #ChildHealth,2021-07-26,Pune,89,41
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-05-14,Pune,51,95
Traditional medicine is better than vaccines #AlternativeMedicine,2022-04-30,Pune,14,170
Traditional medicine is better than vaccines #AlternativeMedicine,2022-06-09,Ahmedabad,70,186
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-08-01,Delhi,44,61
Children need all recommended vaccines #ChildHealth,2023-10-10,Hyderabad,27,27
Traditional medicine is better than vaccines #AlternativeMedicine,2021-07-09,Mumbai,0,120
Children need all recommended vaccines #ChildHealth,2022-09-20,Kolkata,2,102
Worried about vaccine side effects #VaccineSafety,2022-10-11,Hyderabad,36,50
Vaccine misinformation is dangerous #FactCheck,2022-11-15,Ahmedabad,78,58
Worried about vaccine side effects #VaccineSafety,2022-03-18,Chennai,11,38
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2023-08-10,Mumbai,58,112
Not sure about COVID vaccine safety 😟 #VaccineHesitancy,2022-10-04,Chennai,53,86
Government should make vaccines mandatory #PublicHealth,2022-01-20,Bangalore,1,52
Vaccine misinformation is dangerous #FactCheck,2021-09-04,Chennai,54,183
Vaccines are important for public health #VaccineForAll,2023-02-06,Hyderabad,23,68
Traditional medicine is better than vaccines #AlternativeMedicine,2021-07-17,Hyderabad,10,143
Vaccines are important for public health #VaccineForAll,2021-07-06,Hyderabad,79,92
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2022-10-22,Chennai,58,163
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2021-05-27,Chennai,95,198
Traditional medicine is better than vaccines #AlternativeMedicine,2022-05-04,Mumbai,39,127
Proud to be vaccinated! #Vaccinated,2021-12-04,Ahmedabad,0,10
Children need all recommended vaccines #ChildHealth,2022-04-18,Delhi,22,158
Vaccine misinformation is dangerous #FactCheck,2021-09-20,Chennai,15,89
Children need all recommended vaccines #ChildHealth,2023-05-31,Delhi,0,47
Government should make vaccines mandatory #PublicHealth,2023-11-27,Ahmedabad,8,98
Got my vaccine today! Feeling protected 💉 #VaccinationDrive,2023-03-27,Ahmedabad,2,147
Vaccines are a conspiracy #AntiVax,2021-02-23,Ahmedabad,32,151
Traditional medicine is better than vaccines #AlternativeMedicine,2022-08-10,Mumbai,71,163
Worried about vaccine side effects #VaccineSafety,2021-04-14,Chennai,98,111
Children need all recommended vaccines #ChildHealth,2021-04-09,Mumbai,92,145
